词条	声调	词性	读音	中文释义	备注	例句	例句翻译	lesson	bucket
何日	①	名	なんにち	多少天，几天；几号，哪一天		何日かかりますか	需要几天？	29	名词·时间
国	⓪	名	くに	国家；家乡		わが国	我国	29	名词·社会文化
月	②	名	つき	月亮；一个月		今夜は月がとてもきれいです	今晚的月色真美	29	名词·自然天气
空気	①	名	くうき	空气；气氛，氛围		ここは空気がきれいです	这里的空气很清新	29	名词·自然天气
歯医者	①	名	はいしゃ	牙医		歯医者にかかる	看牙医	29	名词·身体健康
固い	⓪	イ形	かたい	结合紧密的；坚固的，坚定的；顽固的		団結が固い	团结紧密	29	形容词·い形
深い	②	イ形	ふかい	深的；浓的；（程度）深的		雪が深く積もっている	雪积得很厚	29	形容词·い形
最高	⓪	名・ナ形	さいこう	最高；最好		最高気温	最高气温	29	形容词·な形
必ず	⓪	副	かならず	一定，必定		7時までに必ず来てください	请务必七点之前来	30	副词
似合う	②	自動1	にあう	合适，般配		彼女は着物がよく似合います	她很适合穿和服	30	动词·一类
寄る	⓪	自動1	よる	靠近；途中经过；聚集		もっとそばへお寄りください	请再靠近一些	30	动词·一类
昼寝	⓪	名・自動3	ひるね	午睡，午觉		昼寝の習慣はない	没有午睡的习惯	30	动词·三类
貯金	⓪	名・自他動3	ちょきん	存款，储蓄		毎月2万円ずつ貯金する	每个月存两万日元	30	动词·三类
覚える	③	他動2	おぼえる	记住；掌握；感到		英語の単語を覚える	记英语单词	30	动词·二类
仲間	③	名	なかま	朋友，伙伴；同类		われわれは大学以来の仲間だ	我们是大学以来的朋友	30	名词·人物职业
本屋	①	名	ほんや	书店		彼は本屋をやっている	他经营着一家书店	30	名词·兴趣娱乐
事務所	②	名	じむしょ	事务所，办事处		法律事務所	律师事务所	30	名词·场所
仮名	⓪	名	かな	假名		お名前に仮名を振ってください	请在名字上标假名	30	名词·学习教育
会	①	名・接尾	かい	（表示组织或活动）……会		勉強会	学习会，培训	30	名词·工作职场
人々	②	名	ひとびと	人们，很多人		むかしの人々の生活を調べる	调查古代人们的生活	30	名词·抽象概念
冗談	③	名	じょうだん	玩笑，笑话		冗談を言う	开玩笑	30	名词·抽象概念
場所	⓪	名	ばしょ	场所，地方		座る場所がない	没有坐的地方	30	名词·抽象概念
終わり	⓪	名	おわり	终，末尾，结束		夏休みももう終わりだ	暑假也已经结束了	30	名词·抽象概念
十一月	⑥	名	じゅういちがつ	十一月		一月・二月・三月・四月・五月・六月・七月・八月・九月・十月・十一月・十二月	1～12月的叫法	30	名词·时间
十二月	⑤	名	じゅうにがつ	十二月		一月・二月・三月・四月・五月・六月・七月・八月・九月・十月・十一月・十二月	1～12月的叫法	30	名词·时间
光	③	名	ひかり	光线，光明；希望		木の間から光がさす	阳光从树木的间隙中洒落	30	名词·自然天气
港	⓪	名	みなと	港口，码头		港に入る	入港	30	名词·身体健康
腰	⓪	名	こし	腰；腰部，下半部		腰を伸ばす	伸懒腰	30	名词·身体健康
細かい	③	イ形	こまかい	细小的，零碎的；详细的		細かい砂	细沙	30	形容词·い形
自由	②	名・ナ形	じゆう	自由		言論の自由	言论自由	30	形容词·な形
すみません	④	連語	すみません	对不起，抱歉；麻烦你，不好意思；请问，问一下		おくれてすみません	对不起，我迟到了	30	惯用表达
例えば	②	副	たとえば	例如，假设		例えば、Ankiを使って日本語を学ぶことができます	比如说，可以用Anki学习日语	31	副词
大体	⓪	名・副	だいたい	概要；大致；本来		私は大体のことしか知らない	我只知道个大概	31	副词
外す	⓪	他動1	はずす	取下，摘下，解开；偏离；除名		メガネを外す	摘下眼镜	31	动词·一类
暮らす	⓪	自動1	くらす	生活，度日		年金で暮らす	靠养老金生活	31	动词·一类
決定	⓪	名・自他動3	けってい	决定，确定		今年の年間目標が決定した	今年的年度目标决定了	31	动词·三类
流れる	③	自動2	ながれる	流，流动；传开；流逝		涙が流れる	流泪	31	动词·二类
パソコン	⓪	名	personal computer	（个人）电脑	「パーソナルコンピューター」の略	一日中パソコンを打っている	一整天都在敲电脑	31	名词·IT通信
部長	⓪	名	ぶちょう	部长，处长		営業部長	营销处处长	31	名词·人物职业
漫画	⓪	名	まんが	漫画，连环画		少女漫画	少女漫画	31	名词·兴趣娱乐
寺	②	名	てら	寺庙，寺院		お寺参り	参拜寺院	31	名词·场所
読み方	③④	名	よみかた	读法，念法		この字の読み方がわからない	不知道这个字的念法	31	名词·学习教育
席	①	名	せき	座位，席位		席に着く	就座；入席	31	名词·工作职场
仕方	⓪	名	しかた	做法，方法		ファイルのダウンロードの仕方が分かりません	我不知道如何下载文件	31	名词·抽象概念
方法	⓪	名	ほうほう	方法		方法を探す	寻找方法	31	名词·抽象概念
都合	⓪	名	つごう	方便（与否）；情况		明日は都合が悪い	明天不方便	31	名词·抽象概念
何年	①	名	なんねん	多少年，几年；哪一年		完成に何年かかりましたか	花了几年完成？	31	名词·时间
湖	②③	名	みずうみ	湖	「水海」の意	山の静かな湖	山中静谧的湖泊	31	名词·自然天气
雲	①	名	くも	云，云彩		雲が晴れた	天晴了；云散了	31	名词·自然天气
手袋	②	名	てぶくろ	手套		手袋をはめる	戴手套	31	名词·身体健康
肩	①	名	かた	肩膀；上方		肩を揉む	揉肩膀	31	名词·身体健康
硬い	⓪	イ形	かたい	坚硬的；死板的；紧张的		ダイヤモンドはもっとも硬い物質だ	钻石是最坚硬的物质	31	形容词·い形
正直	④③	名・副・ナ形	しょうじき	老实，正直		正直な人	诚实的人	31	形容词·な形
ごめんなさい	⑤	連語	ごめんなさい	对不起，抱歉		遅くなってごめんなさい	对不起，我迟到了	31	惯用表达
決して	⓪	副	けっして	决（不）……		決して約束を忘れない	我决不会忘记约定的	32	副词
握る	⓪	他動1	にぎる	握；掌握，抓住；捏（饭团、寿司等）		手を握る	握手	32	动词·一类
要る	⓪	自動1	いる	需要，必要	かな書きも多い	勇気がいる	需要勇气	32	动词·一类
協力	⓪	名・自動3	きょうりょく	协力，合作		このプロジェクトにはみんなの協力が必要です	这个计划需要大家的协助	32	动词·三类
遅刻	⓪	名・自動3	ちこく	迟到		学校に遅刻する	上学迟到	32	动词·三类
合わせる	③	他動2	あわせる	合并；配合；核对		力を合わせる	同心协力	32	动词·二类
カード	①	名	card	卡，卡片		クリスマスカード	圣诞卡片	32	名词·IT通信
少女	①	名	しょうじょ	少女		それは少女向けの雑誌です	那是面向少女的杂志	32	名词·人物职业
野球	⓪	名	やきゅう	棒球		校庭で野球をする	在操场打棒球	32	名词·兴趣娱乐
会場	⓪	名	かいじょう	会场		会場は人でいっぱいになりました	会场挤满了人	32	名词·场所
外国語	⓪	名	がいこくご	外语		外国語で話す	用外语说	32	名词·学习教育
中心	⓪	名	ちゅうしん	中心；重要之处		公園の中心に池がある	公园的中央有一座水池	32	名词·抽象概念
手伝い	③	名	てつだい	帮忙，帮工		大掃除の手伝いをする	帮忙大扫除	32	名词·抽象概念
長	①	名・造	ちょう	长……，远……		長時間	长时间	32	名词·抽象概念
十月	④	名	じゅうがつ	十月		一月・二月・三月・四月・五月・六月・七月・八月・九月・十月・十一月・十二月	1～12月的叫法	32	名词·时间
祭り	⓪	名	まつり	祭祀，庙会，节日		夏のお祭り	夏季的庙会	32	名词·社会文化
気	⓪	名	き	气，空气；心情；性质		山の気を胸いっぱい吸う	大口吸山里的新鲜空气	32	名词·自然天气
火	①	名	ひ	火		火をつける	点火	32	名词·自然天气
現在	①	名	げんざい	现在，目前；当时		現在の気温は３０度です	现在的气温是30度	32	名词·身体健康
血	⓪	名	ち	血		血だらけのセーター	满是血的毛衣	32	名词·身体健康
苦い	②	イ形	にがい	（味道）苦的；痛苦的		苦い薬を飲む	喝苦药	32	形容词·い形
直接	⓪	名・副・ナ形	ちょくせつ	直接		彼に直接お願いしなさい	请直接拜托他	32	形容词·な形
特に	①	副	とくに	特别		今年の冬は特に寒い	今年的冬天特別冷	33	副词
届く	②	自動1	とどく	收到；够得着		彼からの手紙が届いた	收到了他的来信	33	动词·一类
信用	⓪	名・他動3	しんよう	相信；信誉		彼の言うことは信用できない	他说的话不能相信	33	动词·三类
到着	⓪	名・自動3	とうちゃく	到达，抵达		夜9時に東京に到着しました	晚上九点抵达东京	33	动词·三类
オートバイ	③	名	(和) auto＋bicycle	摩托车		オートバイに乗る	骑摩托车	33	名词·交通出行
お子さん	⓪	名	おこさん	您孩子，令郎，令爱		お子さんは何人ですか	您有几个孩子？	33	名词·人物职业
台所	⓪	名	だいどころ	厨房		お母さんは台所にいます	妈妈在厨房	33	名词·住宅设备
床	⓪	名	ゆか	地板，地上		床を掃く	扫地	33	名词·住宅设备
テニス	①	名	tennis	网球		彼らはよくテニスをしています	他们经常打网球	33	名词·兴趣娱乐
十	①	名	じゅう	十		一・二・三・四・五・六・七・八・九・十	数字1〜10的叫法	33	名词·其他
両方	③⓪	名	りょうほう	两者，双方		チョコレートとケーキを両方ください	请给我巧克力和蛋糕	33	名词·抽象概念
用事	⓪	名	ようじ	（必须做的）事，事情		急に用事ができた	有急事	33	名词·抽象概念
右側	⓪	名	みぎがわ	右边，右侧		右側通行	右侧通行	33	名词·方位位置
タオル	①	名	towel	毛巾		私はタオルで顔をふいた	我用毛巾擦脸	33	名词·日用品
地	①	名	ち	大地，土地；场所		外国の地を踏む	踏上外国土地	33	名词·自然天气
桜	⓪	名	さくら	樱花，樱花树		桜が咲いた	樱花开了	33	名词·自然天气
着物	⓪	名	きもの	和服		着物の着付けを習う	学习穿和服	33	名词·衣物外貌
傷	⓪	名	きず	伤；瑕疵；缺陷		足の傷が痛みます	脚上的伤在痛	33	名词·身体健康
サラダ	①	名	salad	沙拉		フルーツサラダ	水果沙拉	33	名词·饮食
晩ご飯	③	名	ばんごはん	晚饭		晩ご飯を作る	做晚饭	33	名词·饮食
朝ご飯	③	名	あさごはん	早饭		朝ご飯を食べないで出勤した	没吃早饭就上班去了	33	名词·饮食
箸	①	名	はし	筷子		箸1膳	一双筷子	33	名词·饮食
野菜	⓪	名	やさい	蔬菜		庭で野菜を作る	在院里种菜	33	名词·饮食
大人しい	④	イ形	おとなしい	老实的，听话的；素雅的		大人しくして！	老实点！	33	形容词·い形
当たり前	⓪	ナ形・名	あたりまえ	理所当然；普通		借りたお金を返すのは当たり前だ	欠债还钱是理所当然的	33	形容词·な形
どうか	①	副・連語	どうか	请多加；总算，设法；不知为何，不正常		どうかお許しください	请您原谅我	34	副词
気づく	②	自動1	きづく	注意到，发觉；清醒过来，苏醒过来	気付く	忘れ物に気づく	发觉丢了东西	34	动词·一类
教育	⓪	名・他動3	きょういく	教育，教养		私はアメリカで教育を受けた	我是在美国受的教育	34	动词·三类
落ちる	②	自動2	おちる	掉落；降低；不及格		山の上から石が落ちてきた	石头从山上滚落下来	34	动词·二类
駅員	②⓪	名	えきいん	车站工作人员		駅員に聞きましょう	去问站务员吧	34	名词·交通出行
母親	⓪	名	ははおや	母亲		彼女は二人の娘の母親です	她是两个女儿的母亲	34	名词·人物职业
壁	⓪	名	かべ	墙壁；障碍，隔阂		壁に絵が掛かっている	墙上挂着画	34	名词·住宅设备
留守	①	名	るす	不在家		家を留守にする	不在家	34	名词·住宅设备
バスケットボール	⑥	名	basketball	篮球	バスケット・バスケ	姉はバスケットボールの選手です	姐姐是篮球选手	34	名词·兴趣娱乐
せい	①	名	せい	（不好结果的）原因		私のせいです	都怪我	34	名词·抽象概念
例	①	名	れい	例子		一つ例をあげてください	请举一个例子	34	名词·抽象概念
左側	⓪	名	ひだりがわ	左边，左侧		道路の左側を走る	靠道路左侧行驶	34	名词·方位位置
袋	③	名	ふくろ	包，袋		袋に入れる	装进袋子	34	名词·日用品
枝	⓪	名	えだ	树枝		サクラの枝を折るな	不要折樱花树枝	34	名词·自然天气
緑	①	名	みどり	绿色		緑の木々	绿色的树木	34	名词·衣物外貌
人口	⓪	名	じんこう	人口		日本の人口は約1億2700万人だ	日本的人口约有一亿两千七百万	34	名词·身体健康
石	②	名	いし	石头，石子		私は石につまずいた	我被石头绊倒了	34	名词·身体健康
ガム	①	名	gum	口香糖		ガムをかむ	嚼口香糖	34	名词·饮食
クッキー	①	名	cookie	曲奇饼干		クッキーと紅茶をいただきました	我吃了饼干和红茶	34	名词·饮食
北	⓪②	名	きた	北方，北面		ロシアは日本の北にあります	俄罗斯在日本的北边	34	名词·饮食
池	②	名	いけ	水池，水塘		池に鯉がいます	池塘里有鲤鱼	34	名词·饮食
食べ物	③②	名	たべもの	食物，食品		日本の食べ物はとてもおいしいです	日本的食物非常好吃	34	名词·饮食
食堂	⓪	名	しょくどう	食堂，餐厅		学生食堂は安いが、あまりおいしくない	学生食堂便宜，但不怎么好吃	34	名词·饮食
恥ずかしい	④	イ形	はずかしい	害羞的，难为情的，惭愧的		先生にほめられて、恥ずかしい	因为被老师表扬而害羞	34	形容词·い形
全く	④⓪	副	まったく	完全；实在，简直；完全（不）		全く等しい	完全相等	35	副词
組む	①	自他動1	くむ	联合，组织，组成；交叉；交叉搭成		彼と組んで仕事をする	和他一起工作	35	动词·一类
輸出	⓪	名・他動3	ゆしゅつ	输出，出口		農産物を輸出する	出口农产品	35	动词·三类
終える	⓪	自他動2	おえる	做完，完成		仕事を終える	结束工作	35	动词·二类
空港	⓪	名	くうこう	机场		国際空港	国际机场	35	名词·交通出行
エンジニア	③	名	engineer	工程师		システムエンジニア	系统工程师	35	名词·人物职业
売り場	⓪	名	うりば	卖场，柜台		くつ売り場はどこですか	请问鞋子卖场在哪里？	35	名词·住宅设备
コンサート	①	名	concert	音乐会，演奏会		友達とジャズのコンサートに行きました	和朋友一起去听了爵士音乐会	35	名词·兴趣娱乐
神社	①	名	じんじゃ	神社		神社に参る	参拜神社	35	名词·场所
グループ	②	名	group	群，组，集团，伙伴		店に学生のグループが来た	店里来了一群学生	35	名词·抽象概念
料金	①	名	りょうきん	使用费		電気料金を払う	交电费	35	名词·抽象概念
南側	⓪	名	みなみがわ	朝南一侧		南側に工場がある	南侧有工厂	35	名词·方位位置
瓶	①	名	びん	瓶子		花瓶	花瓶	35	名词·日用品
森	⓪	名	もり	森林		森の動物たち	森林里的动物们	35	名词·自然天气
トマト	①	名	tomato	西红柿，番茄		トマトケチャップ	番茄酱	35	名词·衣物外貌
入り口	⓪	名	いりぐち	入口		入り口は向こうです	入口在对面	35	名词·身体健康
腹	②	名	はら	肚子，肠胃		腹が減る	肚子饿	35	名词·身体健康
みかん	①	名	みかん	橘子，柑橘	蜜柑	みかんの皮をむく	剥橘子皮	35	名词·饮食
上	⓪②	名	うえ	上面；表面；前面；（程度、地位、等级等）高；（年龄）大		上から下を見る	从上往下看	35	名词·饮食
中	①	名	なか	内部，里面；其中		父は家の中にいます	父亲在家里	35	名词·饮食
弁当	③	名	べんとう	便当，盒饭		お弁当を食べる	吃盒饭	35	名词·饮食
肉	②	名	にく	肉，肉类		昨日の夜は肉をたくさん食べました	昨天晚上我吃了好多肉	35	名词·饮食
鳥	⓪	名	とり	鸟；鸡		鳥の巣	鸟巢	35	名词·饮食
悲しい	⓪③	イ形	かなしい	悲伤的，伤心的		愛犬が死んで、とても悲しかった	爱犬过世了，我非常难过	35	形容词·い形
もしも	①	副	もしも	万一，倘若	若しも	もしも雨が降ったらやめよう	如果下雨就取消吧	36	副词
戦う	⓪	自動1	たたかう	战斗；比赛；竞争	闘う	敵と戦う	和敌人作战	36	动词·一类
触る	⓪	自動1	さわる	碰触，接触		絵に触らないでください	请勿触摸画作	36	动词·一类
努力	①	名・自動3	どりょく	努力		目的達成のために努力する	为了达成目标而努力	36	动词·三类
数える	③	他動2	かぞえる	数，计算；列举		人数を数える	数人数	36	动词·二类
通り	③	名	とおり	大街，马路；来往；流通；一样，同样		私の家は通りに面している	我的家临街	36	名词·交通出行
友人	⓪	名	ゆうじん	友人，朋友		彼は高校時代からの友人です	他是我高中时的朋友	36	名词·人物职业
専門	⓪	名	せんもん	专业，专门		花を専門に売る店	专卖花的店	36	名词·住宅设备
スーツケース	④	名	suitcase	旅行箱，行李箱		軽いスーツケースが欲しい	我想要一个轻便的行李箱	36	名词·兴趣娱乐
美術館	③②	名	びじゅつかん	美术馆		美術館の休館日	美术馆的休馆日	36	名词·场所
チャンス	①	名	chance	机会，良机		これはすばらしいチャンスだ	这是个好机会	36	名词·抽象概念
用	①	名・接尾	よう	事情；用途，……用		用が済む	事情办完	36	名词·抽象概念
礼	①⓪	名	れい	礼貌；行礼；感谢，谢意，谢礼		礼を尽くす	礼节周到	36	名词·抽象概念
行き	⓪	名	ゆき	去；方向	いき	行きは地下鉄で、帰りはバスだ	去时坐地铁，回来坐公交车	36	名词·方位位置
星	⓪	名	ほし	星星；星号；明星		星が光る	星星闪耀	36	名词·自然天气
上着	⓪	名	うわぎ	外套；上衣		上着を着る	穿外套	36	名词·衣物外貌
熱	②	名	ねつ	热度；发烧		熱を加える	加热	36	名词·身体健康
足	②	名	あし	脚，腿		足の甲	脚背；脚面	36	名词·身体健康
すし	②①	名	すし	寿司	鮨・寿司	寿司を握る	捏寿司	36	名词·饮食
卵	②⓪	名	たまご	蛋，鸡蛋；未成熟者	料理では、「玉子」と書くことも多い	ニワトリは卵を産みます	鸡会下蛋	36	名词·饮食
方	①	名	ほう	方向；方面；（比起来）……还是		こちらの方を向いてください	请朝向我	36	名词·饮食
昼ご飯	③	名	ひるごはん	午饭		昼ご飯を食べたら眠くなった	吃了午饭就困了	36	名词·饮食
水	⓪	名	みず	水		水を一杯ください	请给我一杯水	36	名词·饮食
正確	⓪	名・ナ形	せいかく	正确，准确		正確に発音する	准确发音	36	形容词·な形
何でも	①	副・連語	なんでも	不管什么；据说是		何でもある	应有尽有	37	副词
動かす	③	他動1	うごかす	启动；移动；感动		モーターを動かす	启动马达	37	动词·一类
貿易	⓪	名・自動3	ぼうえき	贸易		貿易会社	贸易公司	37	动词·三类
閉じる	②	自他動2	とじる	合上；结束		本を閉じる	合上书	37	动词·二类
ピアノ	⓪	名	piano	钢琴		ピアノを弾く	弹钢琴	37	名词·兴趣娱乐
試合	⓪	名	しあい	（体育的）比赛		試合に勝つ	比赛胜利	37	名词·兴趣娱乐
大学院	④	名	だいがくいん	研究生院		彼は大学院に進みました	他上了研究生	37	名词·场所
マナー	①	名	manner	礼貌，礼节，规矩		テーブルマナー	就餐礼仪	37	名词·抽象概念
ロボット	①②	名	robot	机器人；自动装置		人間のようにおどるロボット	像人类一样跳舞的机器人	37	名词·抽象概念
動物園	④	名	どうぶつえん	动物园		昨日子供たちと動物園に行きました	昨天和孩子们去了动物园	37	名词·自然天气
虫	⓪	名	むし	虫子		網で虫を捕まえる	用网捉昆虫	37	名词·自然天气
ネックレス	①	名	necklace	项链		とってもきれいなネックレスね	真漂亮的项链啊	37	名词·衣物外貌
手帳	⓪	名	てちょう	笔记本，手册		新しい手帳を買いました	我买了新的笔记本	37	名词·身体健康
相手	③	名	あいて	伙伴；对方；（竞争）对手		恋の相手を探す	寻找恋爱对象	37	名词·身体健康
ジャム	①	名	jam	果酱		このイチゴでジャムを作りましょう	用这些草莓做果酱吧	37	名词·饮食
食料品	⓪③	名	しょくりょうひん	（特指主食之外的鱼肉类、蔬菜和水果等）食品		食料品の買い出しに出かける	去采购食品	37	名词·饮食
正しい	③	イ形	ただしい	正确的；正当的；端正的		正しい答え	正确的回答	37	形容词·い形
秘密	⓪	ナ形・名	ひみつ	秘密		これは秘密だよ	这可是秘密啊	37	形容词·な形
役に立つ		成句	やくにたつ	有用处，有帮助		私は人々の役に立ちたいと思っています	我想帮助人们	37	惯用表达
あと	①	名・副・接	あと	还有，另外		あと1万円必要だ	还需要一万日元	38	副词
誘う	⓪	他動1	さそう	邀请；引发		散歩に誘う	邀去散步	38	动词·一类
接待	①	名・他動3	せったい	接待，招待		客を接待する	招待客人	38	动词·三类
新幹線	③	名	しんかんせん	新干线		新幹線で京都に行きました	搭新干线去京都了	38	名词·交通出行
ボール	⓪①	名	ball	球		ボールを投げる	投球	38	名词·兴趣娱乐
趣味	①	名	しゅみ	爱好		私の趣味はテニスとスキーです	我的爱好是网球和滑雪	38	名词·兴趣娱乐
旅館	⓪	名	りょかん	日式宾馆		京都では旅館に泊まりました	在京都住了旅馆	38	名词·场所
ホーム	①	名	home	家；疗养院，招待所		マイホームを購入する	购买自己的住房	38	名词·抽象概念
一部	②	名	いちぶ	一部分；一册		計画を一部変更しましょう	我们稍微修改一下计划吧	38	名词·抽象概念
日本人	④	名	にほんじん	日本人		日本人女性と結婚する	和日本女性结婚	38	名词·社会文化
ポスター	①	名	poster	招贴，广告画，海报		ポスターをはる	贴海报	38	名词·自然天气
島	②	名	しま	岛，岛屿		日本は島国です	日本是岛国	38	名词·自然天气
リボン	①	名	ribbon	丝带，发带		髪をリボンでしばる	用发带把头发扎上	38	名词·衣物外貌
息	①	名	いき	呼吸，气息		大きく息を吸ってください	请深呼吸	38	名词·身体健康
裏	②	名	うら	背面；内幕，背后		会社の裏に公園があります	公司后面有公园	38	名词·身体健康
ハンバーグ	③	名	hamburg steak	汉堡牛肉饼，汉堡排		彼女の自慢の料理はハンバーグです	她最拿手的菜是汉堡肉饼	38	名词·饮食
メニュー	①	名	menu	菜单，选单		メニューを見せてください	请给我看菜单	38	名词·饮食
茶色い	⓪	イ形	ちゃいろい	茶色的，褐色的		泥で手が茶色くなる	手上沾满了泥土，变成了褐色	38	形容词·い形
得意	②⓪	名・ナ形	とくい	擅长，拿手		数学が得意だ	擅长数学	38	形容词·な形
最も	③①	副	もっとも	最，第一		最も好きな食べ物	最喜爱的食物	39	副词
流す	②	他動1	ながす	使流走；冲走；传播		涙を流す	流泪	39	动词·一类
輸入	⓪	名・他動3	ゆにゅう	进口		原料を輸入する	进口原料	39	动词·三类
救急車	③	名	きゅうきゅうしゃ	急救车		救急車を呼んでくれ！	快叫救护车！	39	名词·交通出行
プレゼント	②	他動3・名	present	礼物，赠品		プレゼントを贈る	送礼物	39	名词·兴趣娱乐
ペット	①	名	pet	宠物		ペットを飼う	养宠物	39	名词·抽象概念
レベル	①⓪	名	level	水平，水准		レベルが高い・低い	水平高／低	39	名词·抽象概念
距離	①	名	きょり	距离；差距		安全な距離を保つ	保持安全距离	39	名词·抽象概念
チップ	①	名	tip	小费		チップをけちる	少给小费；不给小费	39	名词·日用品
中国	①	名	ちゅうごく	中国		中国の首都ペキン	中国的首都北京	39	名词·社会文化
日	⓪①	名	ひ	太阳；白天；天		日が昇る	日出；太阳升起来了	39	名词·自然天气
力	③	名	ちから	力气；精力；能力；效力；权力		力がある	有力量	39	名词·身体健康
唇	⓪	名	くちびる	嘴唇		寒くて唇が青くなってしまった	天气太冷，嘴唇都发紫了	39	名词·身体健康
腕	②	名	うで	手臂；本领，技能		腕を組む	抱臂	39	名词·身体健康
メロン	①	名	melon	哈密瓜，甜瓜		メロンは冷たく冷やして食べるとおいしい	哈密瓜冰镇过后再吃会更美味	39	名词·饮食
全て	①	名・副	すべて	一切，所有，全部		彼に全てのことを伝えた	我把所有事情都告诉他了	39	名词·饮食
点	⓪	名・接尾	てん	点；标点；分数；方面；……件		文に点を打つ	给句子打上标点	39	名词·饮食
優しい	⓪③	イ形	やさしい	温柔的，体贴的；优美的		彼はとても優しい人です	他是个非常温柔的人	39	形容词·い形
不安	⓪	名・ナ形	ふあん	不安，焦虑		不安に感じる	感到不安	39	形容词·な形
絶対	⓪	名・副	ぜったい	绝对；决；决（不）		これは絶対の真理である	这是绝对真理	40	副词
冷蔵	⓪	名・他動3	れいぞう	冷藏		このお菓子は要冷蔵だ	这个点心要冷藏	40	动词·三类
辞める	⓪	自他動2	やめる	辞职		会社を辞めて留学に行く	辞职去留学	40	动词·二类
特急	⓪	名	とっきゅう	火速；特快列车		特急でお願いします	麻烦尽快	40	名词·交通出行
小説	⓪	名	しょうせつ	小说		私は月に３冊くらい小説を読みます	我每个月会看三本小说	40	名词·兴趣娱乐
ルール	①	名	rule	规则，制度		ルールを守る	遵守规则	40	名词·抽象概念
疑問	⓪	名	ぎもん	疑问		疑問を抱く	抱有疑问	40	名词·抽象概念
空き缶	⓪	名	あきかん	空罐		空き缶を拾う	捡空罐	40	名词·日用品
日本	②	名	にほん	日本	にっぽん	日本に留学する	到日本留学	40	名词·社会文化
土産	⓪	名	みやげ	特产，土特产		京都の土産	京都的特产	40	名词·自然天气
海岸	⓪	名	かいがん	海岸，海边		海岸を散歩しましょう	我们去海边散步吧	40	名词·自然天气
パンツ	①⓪	名	pants	裤子；短裤；内裤		彼女はスカートよりパンツが似合うね	她穿裤子比穿裙子好看呢	40	名词·衣物外貌
奥	①	名	おく	里头，内部，深处；里屋，内宅		はさみは机の奥にあった	剪刀在桌子里面	40	名词·身体健康
理由	⓪	名	りゆう	理由；借口		遅れた理由を教えてください	请告诉我迟到的理由	40	名词·身体健康
身	⓪	名	み	身体；自身；身份		身の危険を感じる	感到人身危险	40	名词·身体健康
匂い	②	名	におい	气味	臭い	いい匂いがする	有股好闻的气味	40	名词·饮食
湯	①	名	ゆ	开水，热水；洗澡水；温泉		お湯を沸かす	烧水	40	名词·饮食
美しい	④	イ形	うつくしい	美丽的；美好的		美しい景色	美丽的风景	40	形容词·い形
どういたしまして	①+④	連語	どういたしまして	不客气		「プレゼントをありがとう」「どういたしまして」	“谢谢你的礼物”“不客气”	40	惯用表达
第一	①	名・副	だいいち	第一，首先；最优秀；最重要		第一試合は9時からです	第一场比赛从九点开始	41	副词
通す	①	他動1	とおす	穿过，通过；领进；通过（考试、审议等）		窓を開けて風を通してください	请把窗户打开通风	41	动词·一类
愛する	③	他動3	あいする	爱；爱恋；爱好		子どもを愛する	疼爱孩子	41	动词·三类
進める	⓪	他動2	すすめる	使前进；推进，前进		車を進める	驱车前进	41	动词·二类
情報	⓪	名	じょうほう	情报，信息		インターネットで最新の情報を収集する	用互联网收集最新信息	41	名词·IT通信
十	①	名	とお	十；十个；十岁		一つ・二つ・三つ・四つ・五つ・六つ・七つ・八つ・九つ・十	1〜10个的说法	41	名词·其他
資料	①	名	しりょう	资料，材料		資料を集める	收集资料	41	名词·工作职场
事件	①	名	じけん	事件，案件		放火事件	纵火事件	41	名词·抽象概念
受付	⓪	名	うけつけ	受理；传达室，问讯处	受け付け	受付は9時からです	受理时间从9点开始	41	名词·抽象概念
大勢	③	名	おおぜい	许多人，大批人		大勢で食事に出かけました	我们一大群人一起出去吃饭了	41	名词·抽象概念
レインコート	④	名	raincoat	雨衣	レーンコート	雨なのでレインコートを着ました	因为下雨，我穿了雨衣	41	名词·自然天气
何度	①	名	なんど	多少次，几次；多少度，几度		何度やってもだめだった	试了几次都不行	41	名词·自然天气
〜口		名・造	〜くち	……口；股，份		非常口	安全出口	41	名词·身体健康
肌	①	名	はだ	皮肤；表皮		すべすべした肌	光滑的肌肤	41	名词·身体健康
米	②	名	こめ	稻米，大米		米をとぐ	淘米	41	名词·饮食
苦しい	③	イ形	くるしい	痛苦；困难		食べ過ぎておなかが苦しい	吃太多肚子好难受	41	形容词·い形
首になる	④	成句	くびになる	被解雇		会社を首になる	被公司开除	41	惯用表达
実は	②	副	じつは	其实，说实在的		実は、母にうそをついた	其实我跟妈妈撒了谎	42	副词
よる	⓪	自動1	よる	由于；根据；取决于	因る・拠る	不注意によって大けがをした	由于不小心受了重伤	42	动词·一类
朝寝坊	③	名・自動3	あさねぼう	早上睡懒觉		夜遅くまで起きている人はたいてい朝寝坊だ	晚上睡得晚的人大概都起床晚	42	动词·三类
知らせ	⓪	名	しらせ	通知，告示		今日、合格の知らせをもらいました	今天收到了合格通知	42	名词·IT通信
ホーム	①	名	platform	站台，月台	「プラットホーム」の略	列車がホームに進入する	列车驶入月台	42	名词·交通出行
母	①	名	はは	母，母亲，妈妈		昨日、母と話をしました	昨天和妈妈聊了天	42	名词·人物职业
