词条	声调	词性	读音	中文释义	备注	例句	例句翻译	lesson	bucket
ジュース	①	名	juice	果汁		オレンジジュース	橙汁	8	名词·饮食
天ぷら	⓪	名	てんぷら	天妇罗（一种鱼和蔬菜等裹上面粉后油炸的食物）	天麩羅	私はえびの天ぷらが好きです	我喜欢炸虾天妇罗	8	名词·饮食
蕎麦[そば]	①	名	そば	荞麦面		お昼にそばを食べた	中午吃了荞麦面	8	名词·饮食
彼	①	代・名	かれ	他；男朋友		彼は絵がうまい	他擅长画画	8	基础·代词指示
彼女	①	名・代	かのじょ	她；女朋友		彼女はクラスメートです	她是我的同班同学	8	基础·代词指示
ねえ	①	感・終助	ねえ	（打招呼时）喂，唉		ねえ、どれがいい？	喂，哪个好？	8	基础·感叹寒暄
それから	⓪	接	それから	然后；还有		買いたいものはバッグ、靴それから化粧品です	想买的东西有书包、鞋，还有化妆品	8	基础·接续助词
それでは	③	接	それでは	那么，那样的话		それではこれで失礼します	那么我就失陪了	8	基础·接续助词
年生		造	ねんせい	……年级生		中学2年生	初中二年级	8	基础·造语
〜人		接尾	〜にん	（量词）……个人；（那个人所固有的性格、能力和经历）……人		彼には3人の息子がいます	他有三个儿子	8	基础·量词单位
ちょうど	⓪	副	ちょうど	正好，恰好	丁度	値段はちょうど3万円です	价格刚好是三万日元	9	副词
どうも	①	副	どうも	非常，很；怎么也（不）；总觉得		どうもありがとう	非常感谢	9	副词
もっと	①	副	もっと	更加		もっと近くに来てください	请再靠近一点	9	副词
並ぶ	⓪	自動1	ならぶ	排队，排列		ここに並んでください	请在这里排队	9	动词·一类
入る	①	自動1	はいる	进入；含有；加入		寒いので中に入ってください	天气冷，请进来	9	动词·一类
売る	⓪	他動1	うる	出售		彼は家を売った	他把房子卖了	9	动词·一类
曇る	②	自動1	くもる	阴天；朦胧不清，模糊		あすは曇るかもしれない	明天也许会阴天	9	动词·一类
洗う	⓪	他動1	あらう	洗		洗っていない皿	没洗的碟子	9	动词·一类
登る	⓪	自動1	のぼる	登上		去年富士山に登りました	去年爬了富士山	9	动词·一类
話す	②	他動1	はなす	说，讲，谈		ゆっくり話す	慢慢说	9	动词·一类
選ぶ	②	他動1	えらぶ	选择，挑选		正しい答えを選ぶ	选择正确答案	9	动词·一类
はっきり	③	副・自動3	はっきり	清楚；爽快；明确		今日は山がはっきり見える	今天可以清楚地看到山	9	动词·三类
工事	①	名・自他動3	こうじ	施工，工程		工事現場	施工现场	9	动词·三类
引っ越し	⓪	名・自動3	ひっこし	搬家		去年、引っ越ししました	我去年搬家了	9	动词·三类
意見	①	名・自他動3	いけん	（提）意见；劝告		あなたの意見が聞きたいです	我想听听你的意见	9	动词·三类
試験	②	名・他動3	しけん	考试；测验		試験に合格する	考试及格	9	动词·三类
教える	⓪	他動2	おしえる	教，传授；告诉		日本語を教える	教日语	9	动词·二类
育てる	③	他動2	そだてる	养育，培育，饲养		大きくなるまで育てる	扶养成人	9	动词·二类
迎える	⓪	他動2	むかえる	迎接；迎来		駅で友を迎える	在车站迎接朋友	9	动词·二类
間違える	④③	他動2	まちがえる	弄错，搞错		部屋を間違える	弄错房间	9	动词·二类
中学生	③④	名	ちゅうがくせい	初中生		息子は中学生です	儿子是初中生	9	名词·人物职业
夫	⓪	名	おっと	丈夫		私の夫はサラリーマンです	我的丈夫是上班族	9	名词·人物职业
男の子	③	名	おとこのこ	男孩子；年轻男性		男の子が生まれた	生了个男孩	9	名词·人物职业
ダンス	①	名	dance	（西洋风格的）舞蹈		ダンスパーティー	舞会	9	名词·兴趣娱乐
パーティー	①	名	party	派对		明日、うちでパーティーを開きます	明天我要在家里开派对	9	名词·兴趣娱乐
工場	③	名	こうじょう	工厂		工場を経営する	办工厂；经营工厂	9	名词·场所
日本語	⓪	名	にほんご	日语		あなたは日本語を話せますか	你会讲日语吗？	9	名词·学习教育
ゼロ	①	名	zero	零，零点；什么都没有		今日の交通事故はゼロです	今天的交通事故为零	9	名词·抽象概念
以内	①	名	いない	以内，之内		二時間以内に着く	两小时之内到达	9	名词·抽象概念
四	①	名	よん	四	よ、し	一・二・三・四・五・六・七・八・九・十	数字1〜10的叫法	9	名词·数量
スーツ	①	名	suit	西装，西服		スーツを着る	穿西装	9	名词·方位位置
今夜	①	名	こんや	今晚		今夜は月がとてもきれいです	今晚的月色很美	9	名词·时间
場合	⓪	名	ばあい	场合，时候，情形		わからない場合は私に聞いてください	有不懂的地方请问我	9	名词·时间
正月	④⓪	名	しょうがつ	新年，正月		子どもたちは正月にスキーに行く	孩子们新年去滑雪	9	名词·时间
タバコ	⓪	名	(ポ) tabaco	烟草，香烟	煙草・たばこ	タバコ1箱	一盒烟	9	名词·自然天气
ネクタイ	①	名	necktie	领带		ネクタイを締める	系领带	9	名词·衣物外貌
おなか	⓪	名	おなか	肚子，肠胃		おなかが痛い	肚子疼	9	名词·身体健康
口	⓪	名	くち	嘴；言语；出入口		口を大きく開けてください	请把嘴巴张开	9	名词·身体健康
彼氏	①	代・名	かれし	男朋友；他		彼女には彼氏がいる	她有男朋友	9	基础·代词指示
こんばんは	⑤	感	こんばんは	晚上好		こんばんは。お邪魔します	晚上好，打扰了	9	基础·感叹寒暄
でも	①	接	でも	然而，可是；即使……也		でも私はできませんよ	但我做不到啊	9	基础·接续助词
いろんな	⓪	連体	いろんな	各种各样的	色んな	いろんな色の花	五颜六色的花朵	9	基础·连体词
〜家		接尾	〜か	（以……为职业的人；经常做……的人）……家		専門家	专家	9	基础·量词单位
かわいい	③	イ形	かわいい	可爱的	可愛い	彼女の赤ちゃんは可愛いです	她的宝宝很可爱	9	形容词·い形
つらい	⓪②	イ形	つらい	难受的，艰苦的	辛い	この仕事はつらいです	这份工作很辛苦	9	形容词·い形
まずい	②	イ形	まずい	难吃的；不好，糟糕		ここの料理はまずい	这里的料理很难吃	9	形容词·い形
丸い	⓪	イ形	まるい	圆的；圆滑的	円い	地球は丸い	地球是圆的	9	形容词·い形
弱い	②	イ形	よわい	弱的；不擅长的		体が弱い	体弱	9	形容词·い形
易しい	⓪③	イ形	やさしい	容易的，简单的		この問題はかなり易しいです	这个问题相当简单	9	形容词·い形
暑い	②	イ形	あつい	（天气）热的		風がないので暑くて眠れない	因为没风，热得睡不着	9	形容词·い形
暗い	⓪	イ形	くらい	黑的；发暗的；阴沉的		道が暗い	路上一片漆黑	9	形容词·い形
いろいろ	⓪	ナ形・副・名	いろいろ	各种各样，形形色色	色々	彼はいろいろなことを知っている	他知道很多事情	9	形容词·な形
だめ	②	名・ナ形	だめ	没用；做不到；不可以	駄目	彼はだめな男だ	他是个没用的男人	9	形容词·な形
にぎやか	②	ナ形	にぎやか	热闹，繁华	賑やか	浅草はにぎやかな街です	浅草是个热闹的地方	9	形容词·な形
元気	①	名・ナ形	げんき	精神，活力；有精神		お元気ですか	您好吗？	9	形容词·な形
真面目	⓪	名・ナ形	まじめ	认真；老实		真面目に働く	认真工作	9	形容词·な形
茶色	⓪	ナ形・名	ちゃいろ	茶色，褐色		茶色の服	茶色衣服	9	形容词·な形
つまらない	③	連語	つまらない	无聊的；不值钱的，微薄的		彼の話はつまらないですね	他的话很无聊	9	惯用表达
とても	⓪	副	とても	很，非常		この本はとてもおもしろい	这本书非常有趣	10	副词
なぜ	①	副	なぜ	为什么，为何	何故	なぜ来なかったの	你为什么没来？	10	副词
まず	①	副	まず	首先		帰ったらまず手を洗いましょう	回家后先洗手吧	10	副词
乗る	⓪	自動1	のる	乘坐；登上		駅からはタクシーに乗ってください	请从车站搭出租车	10	动词·一类
分かる	②	自動1	わかる	明白，懂；知道		質問の意味はわかりましたか	明白问题的意思了吗？	10	动词·一类
守る	②	他動1	まもる	遵守；保护		ルールを守る	遵守规则	10	动词·一类
